Transaction ID,Customer ID,Transaction Date,Transaction Time,Transaction Amount,Transaction Type,Payment Method,Merchant Category,Sender Location,Receiver Location,Account Age (Days),Customer Age,Transactions in Last 24 Hours,Average Customer Transaction Amount,Failed Transaction Attempts,Device Type,Device ID,IP Address,Is New Device,Is Unusual Location,Is International,Transaction Status,Is Fraud
TXN200000,CUST10870,2024-04-30,18:03:10,4929.31,Mobile-wallet payment,Net Banking,Electronics,Pune,Chennai,2741,70,7,3312.91,0,Desktop,DEV309374,13.130.58.141,0,0,0,Success,0
TXN200001,CUST10837,2024-03-01,02:52:12,4145.65,Debit-card payment,ATM,Services,Pune,Pune,1388,18,1,4630.53,0,Desktop,DEV945619,191.168.5.27,0,1,0,Success,0
TXN200002,CUST10571,2024-05-20,00:00:22,6152.89,Mobile-wallet payment,Digital Wallet,Entertainment,Mumbai,Jaipur,2782,56,4,3664.79,0,Tablet,DEV356622,117.244.88.94,0,0,0,Success,0
TXN200003,CUST10865,2024-04-26,12:05:12,91288.01,ATM withdrawal,UPI,Services,Hyderabad,Chennai,444,21,5,1989.93,3,Mobile,DEV529161,25.195.169.57,0,0,0,Success,1
TXN200004,CUST10842,2024-04-14,03:53:39,1540.56,Credit-card payment,UPI,Travel,Bangalore,Singapore,1408,24,7,1857.94,0,Desktop,DEV265154,212.201.49.184,0,0,0,Success,0
TXN200005,CUST10048,2024-06-11,21:26:16,2910.78,UPI transfer,ATM,Services,Hyderabad,Jaipur,1170,33,7,3510.4,0,Desktop,DEV665427,2.136.189.13,0,0,0,Success,0
TXN200006,CUST10859,2024-05-29,17:34:58,5359.48,ATM withdrawal,Net Banking,Fashion,Pune,Bangalore,2844,66,7,1515.12,0,Tablet,DEV177289,154.156.226.83,0,0,0,Success,0
TXN200007,CUST10429,2024-06-04,09:02:17,6891.01,Credit-card payment,ATM,Health,Bangalore,Pune,2498,46,5,3729.48,0,Mobile,DEV823270,106.155.180.227,0,0,0,Success,0
TXN200008,CUST10864,2024-06-28,19:56:42,2220.67,Mobile-wallet payment,Card,Others,Kolkata,Hyderabad,705,59,3,3232.93,0,Tablet,DEV264735,75.176.89.236,0,0,0,Success,0
TXN200009,CUST10516,2024-05-18,23:11:16,2552.93,Credit-card payment,Digital Wallet,Health,Pune,Lucknow,2716,46,9,1654.0,0,Tablet,DEV324381,182.107.173.192,0,0,0,Success,0
